Airline,Callsign,Name,Country code
CES,CHINA EASTERN,China Eastern Airlines,CHN
CFE,FLYER,BA CityFlyer,GBR
CFG,CONDOR,Condor Flugdienst,DEU
CFS,EMPIRE AIR,Empire Air,USA
CGA,CONGO AIR,Congo Airways,COD
CGF,CLEVER,Cargo Air Kargoer,BGR
CHC,CHINA SOUTHERN CARGO,China Southern Cargo,CHN
CHG,CHALLENGE,Challenge Airlines,BEL
CHH,HAINAN,Hainan Airlines,CHN
CHN,WEST CHINA,China West Air,CHN
CHP,AVIACSA,Consorcio Aviaxsa,MEX
CHQ,CHAUTAUQUA,Chautauqua Airlines,USA
CIM,CIMBER,Cimber Air,DNK
CJC,COLGAN,Colgan Air,USA
CJT,CARGO JET,Cargojet,CAN
CKK,CARGO KING,China Cargo Airlines,CHN
CKS,CONNIE,Kalitta Air,USA
CLG,CHALLAIR,Chalair Aviation,FRA
CLH,HANSALINE,Lufthansa CityLine,DEU
CLU,FIREBIRD,Cargo Logic Air,GBR
CLX,CARGO LUX,Cargolux Airlines,LUX
CMI,AIR MIKE,Continental Micronesia,USA
CMM,CMALI,Air Mali,MLI
CMP,COPA,Copa Airlines,PAN
CNW,CHINA NORTHWEST,China Northwest Airlines,CHN
COA,CONTINENTAL,Continental Airlines,USA
CPA,CATHAY,Cathay Pacific,HKG
CPC,CATHAY CARGO,Cathay Pacific Cargo,HKG
CPT,AIR SPUR,Corporate Air Cargo,USA
CPZ,COMPASS,Compass Airlines,USA
CQH,AIR SPRING,Spring Airlines,CHN
CQN,CHONG QING,Chongqing Airlines,CHN
CRF,AIR CENTRAL,Air Central,JPN
CRK,BAUHINIA,Hong Kong Airlines,HKG
CRL,CORSAIR,Corsairfly,FRA
CRQ,CREE,Air Creebec Air Creebec,CAN
CSA,CSA LINES,Czech Airlines,CZE
CSC,SI CHUAN,Sichuan Airlines,CHN
CSH,SHANGHAI AIR,Shanghai Airlines,CHN
CSN,CHINA SOUTHERN,China Southern Airlines,CHN
CSS,SHUNG FENG,SF Airlines,CHN
CSZ,SHENZHEN AIR,Shenzhen Airlines,CHN
CTJ,TIANJIN CARGO ,Tianjin Air Cargo ,CHN
CTN,CROATIA,Croatia Airlines,HRV
CUA,LIANHANG,China United Airlines,CHN
CUB,CUBANA,Cubana Airlines,CUB
CUH,LOU LAN,Urumqi Air,CHN
CVA,CHATHAM,Air Chathams,NZL
CVC,AVIACENTRE,Centre-Avia Airlines,BLR
CWF,OHANA CARGO,Empire Airlines,USA
CWP,OHANA,Empire Airlines,USA
CXA,XIAMEN AIR,Xiamen Airlines,CHN
CYL,CITYLINER,Air One Cityliner,ITA
CYP,CYPRUS,Cyprus Airways,CYP
DAG,DAGAL,Daghestan Airline,BLR
DAH,AIR ALGERIE,Air Algerie,DZA
DAL,DELTA,Delta Air Lines,USA
DAN,DAN AIR,Dana Air,NGA
DAO,DALO AIRLINES,Daallo Airlines,DJI
DER,DEER JET,Deer Jet Co Ltd,CHN
DHK,WORLD EXPRESS,DHL Air Limited,GBR
DHL,CONNIE,DHL Kalitta,USA
DHX,DILMUN,DHL International Aviation ME,BHR
DJT,DREAMJET,La Compagnie,FRA
DKH,AIR JUNEYAO,Juneyao Airlines,CHN
DLA,DOLOMOTI,Air Dolomiti,ITA
